Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition,var9
ALO,Waterloo Municipal Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ALW,Walla Walla Regional Airport,Horizon Air,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Other; Other,0,Deny,""
ALW,Walla Walla Regional Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Cosmetics & Grooming,0,Deny,""
ALW,Walla Walla Regional Airport,Alaska Airlines,Property Damage,Checked Baggage,Food & Drink,45.74,Approve in Full,""
AMA,Rick Husband Amarillo International Airport,American Airlines,Property Damage,Checkpoint,Clothing,21.64,Approve in Full,""
AMA,Rick Husband Amarillo International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,USAir,Property Damage,Checked Baggage,Toys & Games,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing; Travel Accessories,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,USAir,Property Damage,Checked Baggage,Toys & Games,48.75,Approve in Full,""
ANC,Ted Stevens Anchorage International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Property Damage,Checkpoint,Personal Electronics,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Property Damage,Checked Baggage,Home Decor,136.94,Settle,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Property Damage,Checked Baggage,Other,100,Approve in Full,""
ANC,Ted Stevens Anchorage International Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing; Food & Drink; Other,100,Approve in Full,""
ANC,Ted Stevens Anchorage International Airport,USAir,Passenger Property Loss,Checked Baggage,Personal Electronics,174.5,Settle,""
ANC,Ted Stevens Anchorage International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,UAL,Property Damage,Checked Baggage,Personal Electronics,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Air Canada,Passenger Property Loss,Checkpoint,Clothing,44.09,Settle,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Home Decor; Jewelry & Watches; Other; Other,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Jet Blue,Property Damage,Checked Baggage,Hunting & Fishing Items,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny,""
ANC,Ted Stevens Anchorage International Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Electronics,149,Approve in Full,""
ASE,Aspen Pitkin County Sardy Field,UAL,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ASE,Aspen Pitkin County Sardy Field,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,445,Settle,""
ASE,Aspen Pitkin County Sardy Field,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses,0,Deny,""
ASE,Aspen Pitkin County Sardy Field,UAL,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
ASE,Aspen Pitkin County Sardy Field,UAL,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,266.12,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,10.95,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,95.18,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,44.99,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Musical Instruments & Accessories,138.99,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Medical/Science,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Medical/Science; Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,12.8,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other; Travel Accessories,198.56,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses; Cameras; Personal Electronics; Personal Electronics; Travel Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Other,419.72,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Lufthansa,Property Damage,Checked Baggage,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Currency,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Other; Travel Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,895.56,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Medical/Science,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,British Airways,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,50,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,695.89,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,53,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checked Baggage,Home Decor,171.64,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,84.5,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,UAL,Passenger Property Loss,Checkpoint,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,199,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,UAL,Property Damage,Checkpoint,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Electronics,172.98,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,122.74,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing,32,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,112.44,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,17.97,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,79,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing; Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checked Baggage,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,555.8,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Food & Drink; Sporting Equipment & Supplies,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Books,Magazines & Other,25,Approve in Full
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Home Decor,300,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Books,Magazines & Other; Clothing; Cosmetics & Grooming; Food & Drink; Other,0,Deny
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Personal Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Medical/Science,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Baggage/Cases/Purses,75,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,15,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Food & Drink; Food & Drink,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,425.38,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,132.65,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing; Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,16.43,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Office Equipment & Supplies; Office Equipment & Supplies; Office Equipment & Supplies,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,56.48,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,KLM Royal Dutch Airlines,Passenger Property Loss,Checkpoint,Medical/Science,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checkpoint,Other,150,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing,180,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Home Decor,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,134.9,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,815,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,90.38,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Accessories,150,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,American Airlines,Property Damage,Checkpoint,Audio/Video,899,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,463,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,320,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,125,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses; Clothing,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Home Decor,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Property Damage,Checked Baggage,Cosmetics & Grooming,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Home Decor,75,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
ATL,HartsfieldJackson Atlanta International Airport,USAir,Property Damage,Checkpoint,Computer & Accessories,1400,Settle,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,142.63,Approve in Full,""
ATL,HartsfieldJackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,150,Approve in Full,""
