Job_Title,Department,Salary
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,94368
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,129063.96
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,81000
SERGEANT,DEPARTMENT OF POLICE,125634
ADMINISTRATIVE ASST III,BUS AFFAIRS AND CONSUMER PROT,99360
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
ASST CHIEF AIRPORT OPERATIONS SUPVSR,DEPARTMENT OF AVIATION,135684
PARAMEDIC I/C,FIRE DEPARTMENT,101052
STAFF ASST,DEPARTMENT OF LAW,62784
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,122274
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,93264
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,74220
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
CHIEF VOUCHER EXPEDITER,DAIS,68940
PROJECTS ADMINISTRATOR,DEPARTMENT OF AVIATION,95616
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CRIMINAL INTELLIGENCE ANALYST,DEPARTMENT OF POLICE,85572
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARAMEDIC,FIRE DEPARTMENT,80448
PARAMEDIC I/C,FIRE DEPARTMENT,104430
ADMINISTRATIVE ASST III,BUS AFFAIRS AND CONSUMER PROT,57240
POLICE OFFICER,DEPARTMENT OF POLICE,93264
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,84522
STAFF ASST,DEPARTMENT OF AVIATION,62784
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,117900
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
FOREMAN OF STREET LIGHT REPAIRMEN,CHICAGO DEPT OF TRANSPORTATION,129063.96
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FILTRATION ENGINEER II,DEPT OF WATER MANAGEMENT,77052
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,90108
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
ASST DIR OF NEWS AFFAIRS,DEPARTMENT OF POLICE,125088
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
IT SECURITY SPECIALIST,DAIS,102612
CHIEF PROGRAMMER/ANALYST,DEPT OF WATER MANAGEMENT,150828
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CHIEF VOUCHER EXPEDITER,CHICAGO DEPT OF TRANSPORTATION,81672
DEPUTY COMMISSIONER,DEPARTMENT OF AVIATION,162996
CRIMINAL HISTORY ANALYST,DEPARTMENT OF POLICE,114252
SENIOR RESEARCH ANALYST,DEPARTMENT OF PLANNING AND DEVELOPMENT,99480
FIELD SERVICE SPECIALIST III,CHICAGO DEPT OF TRANSPORTATION,85308
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DIR OF INFORMATION SYSTEMS,FAMILY AND SUPPORT SERVICES,129636
PARAMEDIC,FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
PUBLIC HEALTH NURSE IV,DEPARTMENT OF PUBLIC HEALTH,118428
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,81000
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,79332
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
FINANCIAL ANALYST,DEPARTMENT OF AVIATION,66804
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
WATER CHEMIST II,DEPT OF WATER MANAGEMENT,81000
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH,71052
SR LEGAL PERSONAL COMPUTER OPERATOR,DEPARTMENT OF LAW,59004
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,94368
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
CLINICAL THERAPIST III,DEPARTMENT OF PUBLIC HEALTH,93804
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
CHIEF VOUCHER EXPEDITER,DEPARTMENT OF FINANCE,119580
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,107652
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,58560
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ADMINISTRATIVE ASST III,PUBLIC SAFETY ADMINISTRATION,90540
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH,74424
POLICE OFFICER,DEPARTMENT OF POLICE,56040
STAFF ASST,DEPARTMENT OF PUBLIC HEALTH,103980
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST COMMISSIONER,DEPARTMENT OF AVIATION,126156
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PUBLIC HEALTH ADMINISTRATOR III,DEPARTMENT OF PUBLIC HEALTH,83028
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,55932
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PUBLIC HEALTH NUTRITIONIST III,DEPARTMENT OF PUBLIC HEALTH,85044
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,73392
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
ASST COMMISSIONER,DEPARTMENT OF PLANNING AND DEVELOPMENT,114684
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH,71052
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,67284
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,128460
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,112848
POLICE OFFICER,DEPARTMENT OF POLICE,108822
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CAPTAIN,DEPARTMENT OF POLICE,159552
SERGEANT,DEPARTMENT OF POLICE,133860
SANITATION CLERK,DEPT STREETS AND SANITATION,77736
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONER,46860
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,93264
SR TESTING / ASSESSMENT SPEC,DEPARTMENT OF HUMAN RESOURCES,101580
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FILTRATION ENGINEER IV,DEPT OF WATER MANAGEMENT,102996
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE TECHNICIAN,DEPARTMENT OF POLICE,110178
COMMANDER,DEPARTMENT OF POLICE,175944
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,104934
DEPUTY COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION,144216
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,90108
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
RECRUITER,DEPARTMENT OF HUMAN RESOURCES,122796
REHABILITATION CONSTRUCTION SPECIALIST,DEPT OF HOUSING,75624
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
SUPERVISING VIDEOGRAPHER,BUS AFFAIRS AND CONSUMER PROT,94704
POLICE OFFICER,DEPARTMENT OF POLICE,111966
STATION LABORER,DEPT OF WATER MANAGEMENT,48610.08
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FILTRATION ENGINEER IV,DEPT OF WATER MANAGEMENT,129540
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CIVIL ENGINEER V,CHICAGO DEPT OF TRANSPORTATION,112500
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPERVISING DISEASE CONTROL INVESTIGATOR,DEPARTMENT OF PUBLIC HEALTH,94824
SENIOR EMERGENCY MANAGEMENT COORD,OFFICE OF EMERGENCY MANAGEMENT,83028
SERGEANT,DEPARTMENT OF POLICE,125634
MANAGER OF POLICE PAYROLLS,PUBLIC SAFETY ADMINISTRATION,114384
CLERK II,FAMILY AND SUPPORT SERVICES,42600
SERGEANT,DEPARTMENT OF POLICE,133860
DIR OF PUBLIC HEALTH OPERATIONS,DEPARTMENT OF PUBLIC HEALTH,85452
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARALEGAL II,DEPARTMENT OF LAW,62784
POLICE OFFICER,DEPARTMENT OF POLICE,56040
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
PROJECT COORD,DEPARTMENT OF AVIATION,66804
DETENTION AIDE,DEPARTMENT OF POLICE,50964
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FINANCIAL PLANNING ANALYST - EXCLD,DEPT OF HOUSING,81552
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,114282
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
PARAMEDIC I/C,FIRE DEPARTMENT,101052
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,141552
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,41760
STAFF ASST,DEPARTMENT OF FINANCE,108996
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,111966
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,118632
DIR OF ADMINISTRATION I,DEPARTMENT OF PUBLIC HEALTH,71052
ADMINISTRATIVE ASST III,DEPARTMENT OF AVIATION,82500
PARAMEDIC I/C,FIRE DEPARTMENT,108096
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,62460
RECRUITING COORDINATOR,DEPARTMENT OF HUMAN RESOURCES,73392
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,85308
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,65388
ADMINISTRATIVE ASST II,DEPT OF BUILDINGS,82500
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,133860
ADMINISTRATIVE ASST III,CHICAGO PUBLIC LIBRARY,99360
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
ASST TO THE ALDERMAN,CITY COUNCIL,124992
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,78384
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
DETENTION AIDE,DEPARTMENT OF POLICE,62136
LEAD ACCOUNTANT,FAMILY AND SUPPORT SERVICES,112500
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
DIGITAL RETRIVAL SPECIALIST - CPD,DEPARTMENT OF POLICE,58116
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
ADMINISTRATIVE ASST III,OFFICE OF EMERGENCY MANAGEMENT,94824
PUBLIC HEALTH ADMINISTRATOR III,DEPARTMENT OF PUBLIC HEALTH,137484
PARAMEDIC,FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,84522
DEPUTY COMPTROLLER,DEPARTMENT OF FINANCE,148296
