date,time,st,F_scale,Injuries,Fatalities,Loss,Length,Width,Day,Hour,F0,Fatal_Tornado
1950-05-18,19:00:00,KS,0,0,0,3,0.1,10,5,19,1,No
1950-05-18,19:00:00,KS,3,2,0,5,14.9,100,5,19,0,No
1950-05-18,15:15:00,NE,1,0,0,4,0.7,333,5,15,0,No
1950-05-19,01:30:00,KS,0,0,0,3,0.1,10,6,1,1,No
1950-05-22,12:39:00,OK,1,0,0,0,1.5,100,2,12,0,No
1950-05-23,18:00:00,KS,0,0,0,4,0.2,250,3,18,1,No
1950-05-24,21:30:00,OK,2,2,0,4,1,33,4,21,0,No
1950-05-24,17:30:00,KS,1,0,0,4,10.7,40,4,17,0,No
1950-05-24,13:30:00,KS,2,1,0,3,3.6,77,4,13,0,No
1950-05-25,16:30:00,TX,1,0,0,3,3,880,5,16,0,No
1950-05-29,23:00:00,LA,1,0,0,4,1,27,2,23,0,No
1950-05-29,23:00:00,LA,1,13,0,4,1,27,2,23,0,No
1950-05-29,17:00:00,TX,1,0,0,0,3.4,267,2,17,0,No
1950-05-29,14:48:00,OK,1,0,0,2,1,33,2,14,0,No
1950-05-30,14:00:00,GA,1,0,0,3,0.5,10,3,14,0,No
1950-05-31,15:30:00,NC,1,0,0,3,0.1,10,4,15,0,No
1950-06-03,01:00:00,MS,3,1,2,0,2,50,7,1,0,Yes
1950-06-04,08:00:00,GA,1,1,0,4,3.3,10,1,8,0,No
1950-06-04,06:00:00,GA,0,0,0,3,2,200,1,6,1,No
1950-06-05,16:00:00,TX,1,2,0,6,23.7,10,2,16,0,No
1950-06-05,15:55:00,TX,3,6,0,5,23.9,67,2,15,0,No
1950-06-07,17:30:00,GA,1,0,0,3,2,300,4,17,0,No
1950-06-07,15:30:00,WY,1,0,0,1,0.2,10,4,15,0,No
1950-06-08,20:10:00,KS,4,5,1,5,17.1,700,5,20,0,Yes
1950-06-09,18:25:00,OK,1,0,0,3,0.1,100,6,18,0,No
1950-06-09,13:00:00,MO,1,0,0,3,2.7,220,6,13,0,No
1950-06-13,17:30:00,NE,2,101,0,4,4.1,10,3,17,0,No
1950-06-13,11:05:00,ND,3,0,0,5,2,10,3,11,0,No
1950-06-13,03:00:00,IL,1,0,0,4,0.1,10,3,3,0,No
1950-06-14,17:00:00,ND,3,0,0,4,23.7,10,4,17,0,No
1950-06-14,16:00:00,WY,1,0,0,1,0.2,10,4,16,0,No
1950-06-15,20:00:00,IA,3,5,0,0,5.6,300,5,20,0,No
1950-06-15,16:42:00,MN,2,4,0,3,4.6,67,5,16,0,No
1950-06-15,01:00:00,MO,1,0,0,3,0.2,100,5,1,0,No
1950-06-16,15:30:00,KS,1,0,0,4,29.9,10,6,15,0,No
1950-06-19,20:40:00,TX,0,0,0,0,15.8,167,2,20,1,No
1950-06-22,21:00:00,NE,0,0,0,0,1.9,10,5,21,1,No
1950-06-25,23:30:00,WI,3,0,0,5,0.1,300,1,23,0,No
1950-06-25,21:00:00,KS,0,0,0,3,0.1,10,1,21,1,No
1950-06-25,21:00:00,WI,4,12,2,5,13.1,880,1,21,0,Yes
1950-06-25,21:00:00,WI,2,0,1,4,7.8,17,1,21,0,Yes
1950-06-25,20:30:00,WI,2,0,0,5,8.4,10,1,20,0,No
1950-06-25,19:20:00,WI,1,0,0,4,0.5,10,1,19,0,No
1950-06-25,18:45:00,KS,0,0,0,3,0.1,10,1,18,1,No
1950-07-01,20:00:00,IA,2,0,0,0,14,10,7,20,0,No
1950-07-01,12:00:00,KS,1,1,0,4,0.1,10,7,12,0,No
1950-07-01,12:00:00,KS,2,0,0,4,0.1,10,7,12,0,No
1950-07-02,19:00:00,KS,2,0,0,6,1,90,1,19,0,No
1950-07-03,18:20:00,IN,0,0,0,0,0.1,10,2,18,1,No
1950-07-05,18:30:00,PA,2,0,0,3,0.1,13,4,18,0,No
1950-07-05,18:00:00,PA,2,2,0,4,12.9,10,4,18,0,No
1950-07-08,22:45:00,KS,1,0,0,4,1,90,7,22,0,No
1950-07-11,17:00:00,NM,1,0,0,2,3.8,500,3,17,0,No
1950-07-12,16:00:00,CT,2,0,0,3,10,10,4,16,0,No
1950-07-14,06:30:00,CT,2,3,0,5,5,100,6,6,0,No
1950-07-15,17:30:00,NE,4,33,0,6,10,440,7,17,0,No
1950-07-16,22:15:00,IL,1,0,0,4,1,33,1,22,0,No
1950-07-18,16:30:00,KS,1,0,0,0,0.1,10,3,16,0,No
1950-07-19,17:45:00,IN,2,0,0,0,1.1,100,4,17,0,No
1950-07-19,16:00:00,MO,1,0,0,2,1.5,440,4,16,0,No
1950-07-19,15:15:00,OH,3,30,0,6,9.7,300,4,15,0,No
1950-07-19,15:15:00,OH,2,0,0,0,0.1,200,4,15,0,No
1950-07-19,14:30:00,IN,1,0,0,4,4.3,200,4,14,0,No
1950-07-22,15:07:00,CO,0,0,0,0,0.1,10,7,15,1,No
1950-07-24,14:40:00,PA,0,0,0,3,0.1,10,2,14,1,No
1950-07-26,15:30:00,NC,1,0,0,0,0.1,10,4,15,0,No
1950-07-27,16:20:00,NC,1,0,0,3,0.1,10,5,16,0,No
1950-08-02,12:30:00,NM,1,0,0,4,7.9,100,4,12,0,No
1950-08-05,17:30:00,CO,2,1,0,4,0.1,10,7,17,0,No
1950-08-06,18:30:00,KS,2,0,0,5,8.7,10,1,18,0,No
1950-08-06,18:00:00,KS,2,0,0,3,0.1,10,1,18,0,No
1950-08-06,15:00:00,KS,1,0,0,4,0.1,10,1,15,0,No
1950-08-08,01:00:00,MO,1,0,0,2,2,10,3,1,0,No
1950-08-09,16:55:00,WV,1,0,0,0,5,10,4,16,0,No
1950-08-11,17:00:00,MD,1,0,0,3,6,10,6,17,0,No
1950-08-24,03:45:00,AR,2,7,0,4,3.6,200,5,3,0,No
1950-08-28,14:50:00,KS,1,0,0,0,7.2,10,2,14,0,No
1950-08-29,16:00:00,PA,1,0,0,3,1,10,3,16,0,No
1950-08-30,16:00:00,FL,1,0,0,4,0.5,50,4,16,0,No
1950-08-31,00:02:00,FL,0,0,0,3,0.1,10,5,0,1,No
1950-09-15,17:45:00,OK,2,6,0,5,6.8,100,6,17,0,No
1950-09-16,01:30:00,OK,0,0,0,2,0.1,10,7,1,1,No
1950-09-21,17:30:00,NE,1,0,0,3,22.5,67,5,17,0,No
1950-10-01,21:00:00,OK,1,0,0,4,15.8,10,1,21,0,No
1950-10-09,02:15:00,NC,3,3,0,5,2,880,2,2,0,No
1950-11-04,17:00:00,PA,3,1,0,5,15.9,100,7,17,0,No
1950-11-20,07:30:00,MS,1,3,0,4,2,37,2,7,0,No
1950-11-20,04:00:00,KY,1,0,0,5,0.1,10,2,4,0,No
1950-11-20,02:20:00,KY,2,0,0,5,0.1,10,2,2,0,No
1950-12-02,17:30:00,IL,1,0,0,4,9.6,50,7,17,0,No
1950-12-02,16:25:00,AR,3,0,0,1,7.8,10,7,16,0,No
1950-12-02,16:00:00,IL,3,25,2,6,18,200,7,16,0,Yes
1950-12-02,15:00:00,IL,2,3,1,4,18.8,50,7,15,0,Yes
1951-01-06,17:30:00,LA,3,11,0,5,16.8,317,7,17,0,No
1951-01-11,10:25:00,CA,2,0,0,6,5.7,10,5,10,0,No
1951-02-01,13:00:00,VA,1,0,0,3,0.1,50,5,13,0,No
1951-02-06,17:00:00,LA,1,0,0,4,4.9,33,3,17,0,No
1951-02-06,15:50:00,LA,1,0,0,4,0.5,33,3,15,0,No
1951-02-19,22:00:00,OK,0,0,0,2,0.1,100,2,22,1,No
1951-02-19,18:30:00,OK,2,5,0,4,43.9,20,2,18,0,No
1951-02-20,18:00:00,KY,2,0,0,4,0.1,73,3,18,0,No
1951-02-20,16:00:00,AL,2,2,0,4,0.1,123,3,16,0,No
1951-02-20,15:00:00,MS,1,0,0,3,0.1,10,3,15,0,No
1951-02-20,15:00:00,MS,3,1,1,3,0.1,10,3,15,0,Yes
1951-02-20,09:15:00,AR,2,3,0,4,112.8,333,3,9,0,No
1951-02-20,09:15:00,AR,2,0,0,0,0,0,3,9,0,No
1951-03-02,20:30:00,KS,0,0,0,2,0.1,10,6,20,1,No
1951-03-02,16:00:00,KS,3,0,0,4,38.1,10,6,16,0,No
1951-03-12,17:00:00,FL,2,0,0,4,2,77,2,17,0,No
1951-03-28,05:10:00,TX,1,0,0,3,0.5,17,4,5,0,No
1951-03-29,18:30:00,IN,2,2,0,5,3,400,5,18,0,No
1951-03-30,15:00:00,PA,1,0,0,3,0.1,20,6,15,0,No
1951-04-05,16:45:00,OK,2,2,0,3,3.6,33,5,16,0,No
1951-04-05,13:22:00,OK,2,2,0,5,0.2,100,5,13,0,No
1951-04-05,13:20:00,OK,2,0,0,4,5.7,127,5,13,0,No
1951-04-20,15:30:00,KS,0,0,0,0,0.1,10,6,15,1,No
1951-04-20,15:10:00,TX,2,0,0,4,1.5,17,6,15,0,No
1951-04-21,19:25:00,MS,3,16,2,4,33.5,10,7,19,0,Yes
1951-04-21,14:00:00,LA,0,1,0,4,1,33,7,14,1,No
1951-04-21,14:00:00,LA,0,2,0,4,1,33,7,14,1,No
1951-04-21,12:00:00,MS,1,0,0,4,0.1,10,7,12,0,No
1951-04-24,21:00:00,OK,1,0,0,3,0.1,10,3,21,0,No
1951-04-24,18:03:00,OK,1,0,0,3,2.5,10,3,18,0,No
1951-04-24,17:30:00,OK,0,0,0,0,0.1,10,3,17,1,No
1951-04-26,19:30:00,KS,1,0,0,3,0.1,10,5,19,0,No
1951-04-26,19:15:00,OK,1,0,0,2,0.1,10,5,19,0,No
1951-04-26,19:15:00,KS,0,0,0,0,1,10,5,19,1,No
1951-04-26,18:15:00,KS,1,0,0,3,0.1,10,5,18,0,No
1951-04-26,18:10:00,KS,0,0,0,3,29.2,10,5,18,1,No
1951-04-27,14:20:00,OK,1,2,0,3,0.8,200,6,14,0,No
1951-04-28,20:55:00,OH,2,5,0,6,15.2,10,7,20,0,No
1951-04-29,18:15:00,NJ,1,2,0,4,0.5,400,1,18,0,No
1951-04-30,23:45:00,KS,0,0,0,3,0.1,10,2,23,1,No
1951-04-30,21:30:00,OK,2,0,0,4,1.5,200,2,21,0,No
1951-04-30,21:30:00,OK,3,0,0,5,7.4,200,2,21,0,No
1951-04-30,20:30:00,OK,1,0,0,3,0.1,10,2,20,0,No
1951-04-30,09:00:00,NE,1,0,0,3,0.3,50,2,9,0,No
1951-04-30,05:30:00,KS,3,0,0,5,12.8,440,2,5,0,No
1951-05-02,20:30:00,KS,1,0,0,2,0.1,10,4,20,0,No
1951-05-02,19:30:00,KS,1,0,0,2,0.1,10,4,19,0,No
1951-05-03,13:35:00,MI,2,0,0,5,2.3,150,5,13,0,No
1951-05-08,18:00:00,KS,1,0,0,2,0.1,10,3,18,0,No
1951-05-09,21:00:00,KS,0,0,0,0,0.1,10,4,21,1,No
1951-05-09,20:20:00,OK,2,1,0,4,14.8,100,4,20,0,No
1951-05-09,18:30:00,OK,1,0,0,3,0.1,10,4,18,0,No
1951-05-09,17:00:00,TX,2,0,0,4,4.9,33,4,17,0,No
1951-05-09,07:00:00,KS,1,0,0,2,2.3,10,4,7,0,No
1951-05-11,15:00:00,VA,1,0,0,4,0.1,10,6,15,0,No
1951-05-11,13:30:00,PA,2,1,0,4,8,10,6,13,0,No
1951-05-13,22:00:00,KS,1,0,0,3,0.1,10,1,22,0,No
1951-05-13,19:00:00,NE,0,0,0,3,0.1,10,1,19,1,No
1951-05-14,19:30:00,KS,3,4,0,3,0.1,10,2,19,0,No
1951-05-14,18:30:00,KS,2,0,0,0,0.1,10,2,18,0,No
1951-05-14,18:00:00,OK,2,0,0,0,0.1,10,2,18,0,No
1951-05-14,18:00:00,OK,2,0,0,3,0.1,10,2,18,0,No
1951-05-14,17:30:00,KS,2,0,0,0,0.1,10,2,17,0,No
1951-05-15,18:30:00,TX,1,0,0,2,0.1,10,3,18,0,No
1951-05-16,10:00:00,OK,0,0,0,0,0.1,10,4,10,1,No
1951-05-17,18:35:00,CO,0,0,0,1,0.1,10,5,18,1,No
1951-05-18,17:30:00,OK,1,0,0,3,0.1,10,6,17,0,No
1951-05-18,17:30:00,OK,1,0,0,3,0.1,10,6,17,0,No
1951-05-18,17:30:00,OK,1,0,0,3,0.1,10,6,17,0,No
1951-05-18,15:45:00,TX,4,100,2,6,2,200,6,15,0,Yes
1951-05-19,20:12:00,OK,0,0,0,0,0.1,220,7,20,1,No
1951-05-19,19:30:00,OK,2,0,0,3,2,67,7,19,0,No
1951-05-19,19:15:00,OK,1,0,0,3,0.1,10,7,19,0,No
1951-05-20,19:00:00,KS,3,0,0,2,0.1,10,1,19,0,No
1951-05-20,19:00:00,KS,2,0,0,4,1,10,1,19,0,No
1951-05-20,19:00:00,KS,3,0,0,5,12.8,900,1,19,0,No
1951-05-20,15:00:00,CO,0,0,0,2,6.1,10,1,15,1,No
1951-05-20,15:00:00,CO,1,0,0,2,10.3,10,1,15,0,No
1951-05-20,14:00:00,CO,0,0,0,1,0.1,10,1,14,1,No
1951-05-21,19:00:00,KS,1,0,0,3,0.1,10,2,19,0,No
1951-05-21,01:00:00,KS,2,0,0,2,0.1,10,2,1,0,No
1951-05-23,15:30:00,GA,2,0,0,4,9.2,50,4,15,0,No
1951-05-23,04:23:00,GA,1,0,0,4,0.3,300,4,4,0,No
1951-05-24,17:00:00,TX,1,0,1,3,0.5,20,5,17,0,Yes
1951-05-25,21:00:00,MO,1,0,0,3,0.2,10,6,21,0,No
1951-05-25,18:00:00,KS,2,0,0,3,0.1,10,6,18,0,No
1951-05-25,16:00:00,KS,3,0,1,5,4.1,440,6,16,0,Yes
1951-05-25,14:30:00,KS,1,0,0,3,0.1,10,6,14,0,No
1951-05-26,12:30:00,FL,1,0,0,4,0.1,10,7,12,0,No
1951-05-26,09:30:00,FL,1,0,3,5,0.1,10,7,9,0,Yes
1951-05-30,22:50:00,KS,0,0,0,3,0.1,10,4,22,1,No
1951-05-30,22:50:00,KS,0,0,0,3,0.1,10,4,22,1,No
1951-05-30,22:50:00,KS,0,0,0,3,0.1,10,4,22,1,No
1951-05-30,22:50:00,KS,0,0,0,3,0.1,10,4,22,1,No
1951-05-30,22:50:00,KS,1,0,0,3,7.7,10,4,22,0,No
1951-05-30,22:50:00,KS,0,0,0,3,0.1,10,4,22,1,No
1951-05-30,22:50:00,KS,1,0,0,3,8.3,10,4,22,0,No
1951-05-30,20:00:00,KS,1,0,0,4,3,10,4,20,0,No
1951-05-30,18:20:00,NE,1,0,0,0,2,33,4,18,0,No
1951-05-30,14:34:00,NE,2,7,0,0,19.7,10,4,14,0,No
1951-05-31,23:45:00,KS,2,0,0,3,3,440,5,23,0,No
1951-05-31,16:00:00,TX,1,0,0,4,0.5,17,5,16,0,No
1951-06-01,21:15:00,IA,3,7,0,0,1.5,880,6,21,0,No
1951-06-01,20:00:00,KS,1,0,0,3,11,10,6,20,0,No
1951-06-01,18:00:00,MI,1,1,0,3,0.5,10,6,18,0,No
1951-06-05,18:00:00,OK,2,0,0,3,0.1,10,3,18,0,No
1951-06-05,15:30:00,NM,0,0,0,5,2,10,3,15,1,No
1951-06-06,23:50:00,OK,2,0,0,3,3.8,450,4,23,0,No
1951-06-06,22:00:00,KS,1,0,0,3,0.1,10,4,22,0,No
1951-06-06,21:30:00,OK,0,0,0,2,0.2,33,4,21,1,No
1951-06-06,20:50:00,TX,2,0,0,5,3.6,1760,4,20,0,No
1951-06-06,20:40:00,TX,0,0,0,3,0.1,10,4,20,1,No
1951-06-06,20:06:00,TX,3,12,0,5,10.4,100,4,20,0,No
1951-06-06,20:00:00,KS,1,0,0,0,0.1,10,4,20,0,No
1951-06-06,19:30:00,KS,1,0,0,4,0.1,10,4,19,0,No
1951-06-06,19:30:00,KS,1,0,0,0,9,10,4,19,0,No
1951-06-06,19:30:00,KS,0,0,0,0,0.1,10,4,19,1,No
1951-06-06,19:30:00,KS,0,0,0,0,0.1,10,4,19,1,No
1951-06-06,19:30:00,KS,3,3,0,4,44.8,10,4,19,0,No
1951-06-06,18:50:00,TX,0,0,0,1,0.1,10,4,18,1,No
1951-06-06,18:20:00,TX,1,0,0,4,0.1,10,4,18,0,No
1951-06-06,18:00:00,KS,1,0,0,4,3,400,4,18,0,No
1951-06-06,16:30:00,KS,2,3,0,3,0.1,10,4,16,0,No
1951-06-06,13:30:00,CO,2,1,0,4,4.7,217,4,13,0,No
1951-06-07,22:55:00,OK,2,1,0,1,0.1,10,5,22,0,No
1951-06-07,18:15:00,OK,1,1,0,4,5.7,33,5,18,0,No
1951-06-07,17:00:00,OK,2,0,0,4,0.5,100,5,17,0,No
1951-06-08,19:15:00,OK,1,0,0,3,0.1,10,6,19,0,No
1951-06-08,19:14:00,OK,1,0,0,4,0.3,200,6,19,0,No
1951-06-08,18:30:00,OK,3,0,0,5,10.9,173,6,18,0,No
1951-06-08,17:45:00,MO,1,0,0,3,0.1,10,6,17,0,No
1951-06-08,17:00:00,KS,2,0,0,3,0.1,10,6,17,0,No
1951-06-08,13:30:00,KS,1,0,0,2,0.8,600,6,13,0,No
1951-06-08,09:00:00,AL,2,2,0,3,0.1,100,6,9,0,No
1951-06-09,17:00:00,NC,1,0,0,4,3.8,30,7,17,0,No
1951-06-09,05:30:00,MS,0,0,0,3,2,10,7,5,1,No
1951-06-13,15:30:00,NC,1,0,0,4,1,20,4,15,0,No
1951-06-13,15:05:00,VA,2,12,0,5,4.1,350,4,15,0,No
1951-06-14,21:00:00,CO,1,0,0,3,0.1,10,5,21,0,No
1951-06-14,11:30:00,ND,0,0,0,0,0.1,10,5,11,1,No
1951-06-15,22:20:00,TX,1,6,0,5,4.9,20,6,22,0,No
1951-06-15,19:15:00,KS,0,0,0,1,0.5,100,6,19,1,No
1951-06-16,00:30:00,TX,2,0,0,4,14.5,20,7,0,0,No
1951-06-17,23:00:00,KS,0,0,0,3,0.1,10,1,23,1,No
1951-06-17,22:30:00,KS,0,0,0,0,0.1,10,1,22,1,No
1951-06-17,22:00:00,KS,0,0,0,0,0.7,10,1,22,1,No
1951-06-17,15:00:00,KS,0,0,0,3,0.1,10,1,15,1,No
1951-06-18,18:00:00,CO,2,0,0,2,29.9,10,2,18,0,No
1951-06-19,20:50:00,WI,2,0,0,4,1,467,3,20,0,No
1951-06-19,18:00:00,KS,0,0,0,3,0.1,10,3,18,1,No
1951-06-19,17:45:00,NE,1,0,0,3,4.7,110,3,17,0,No
1951-06-19,17:30:00,MN,4,20,1,6,52.6,330,3,17,0,Yes
1951-06-19,16:00:00,IA,1,0,0,0,0.5,17,3,16,0,No
1951-06-20,23:20:00,OK,1,0,0,5,0.1,10,4,23,0,No
1951-06-20,22:00:00,KS,1,0,0,0,0.1,10,4,22,0,No
1951-06-20,22:00:00,KS,2,0,0,4,48.6,10,4,22,0,No
1951-06-21,23:00:00,KS,2,0,0,0,0.1,10,5,23,0,No
1951-06-21,19:50:00,IN,3,4,0,6,5.4,1760,5,19,0,No
1951-06-21,17:00:00,OK,1,0,0,3,4.3,10,5,17,0,No
1951-06-21,01:00:00,KS,1,0,0,0,22.2,10,5,1,0,No
1951-06-22,15:30:00,OH,2,0,0,6,1,100,6,15,0,No
