Response_id,Age,Education,Marital_Statu,Generation,Employment_Status,Hours_Worked,Money_Motivate,Student,Credit_Hours,Hours_Study,Exercise,Hours_Exercise,Hours_Eat_Drink,Sleep,Leisure,Phone,Blood,Life_Expectation,Energy,Children_Finance,Money_EatingOut,Smartphone_Purchase,Facebook,Instagram,SnapChat,Twitter,YouTube,LinkedIn,WhatsApp,TikTok,Pinterest,BeReal,Hours_SocialMedia,Politics
1362692,32,Graduate or Professional Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",No,5,2,7.5,2,5,Yes,...better.,Somewhat important,Worse off,0,Yes,0,1,0,0,0,1,1,1,1,1,2,More
1362693,17,Less than High School,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),16,Sole motivating factor,No,"","",Yes,6,2,12,5,7,No,...better.,Not too important,Worse off,24,No,1,1,1,1,1,0,0,1,0,1,7,More
1362705,34,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),45,Somewhat,Yes,6,12,Yes,4,0.5,8,2,2,No,...better.,Very important,About the same,40,Yes,0,1,0,1,1,1,1,1,1,0,2,More
1362718,33,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,5,1,8,3,3,No,...better.,Somewhat important,About the same,60,Yes,0,1,0,1,1,1,1,1,0,0,1,More
1362731,27,Bachelor's Degree,Married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),20,Sole motivating factor,No,"","",Yes,4,2,9,8,3,Yes,...better.,Not too important,Worse off,5,Yes,1,1,0,1,1,1,0,0,0,0,2,More
1362732,34,Graduate or Professional Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,2,2,7,2,2,No,...about the same.,Somewhat important,Worse off,50,Yes,1,0,0,0,1,1,0,0,0,0,0.5,More
1362753,23,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),42,Not at all,No,"","",Yes,2,3,7,4,2,No,...better.,Somewhat important,Better off,30,Yes,1,1,0,0,1,0,0,0,0,0,1,More
1362758,35,Graduate or Professional Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),65,Somewhat,No,"","",Yes,2,1,7,1,1,Yes,...better.,Somewhat important,Worse off,70,Yes,1,0,0,0,0,1,1,0,0,0,0.31415926,More
1362794,61,Graduate or Professional Degree,Married,Baby Boomers (Born 1946-1964),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,2,3,7,2,1.5,No,...better.,Very important,About the same,200,No,1,0,0,0,1,1,1,0,1,0,0,More
1362851,56,Some College,Married,Generation X (Born 1965-1980),Employed Part-Time (not self-employed),20,Not at all,No,"","",Yes,5,1,7,3,2,No,...better.,Not at all important,Worse off,10,Yes,1,0,0,0,0,0,0,0,0,0,0.5,More
1362935,33,Bachelor's Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,3,4,8,2,2,Yes,...better.,Somewhat important,Worse off,80,Yes,1,1,0,1,1,1,1,0,1,0,2,More
1362990,55,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),60,Somewhat,No,"","",No,"",2.5,6.5,8,6,No,...better.,Not too important,Worse off,750,Yes,1,0,0,1,0,1,1,1,0,0,0.5,More
1362991,52,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),30,Somewhat,No,"","",Yes,6,3,7.5,5,0.5,No,...better.,Somewhat important,Worse off,300,Yes,0,0,0,1,1,1,1,0,0,0,0,More
1362993,55,Bachelor's Degree,Married,Generation X (Born 1965-1980),Unemployed...not seeking employment,"","",No,"","",Yes,7,2,8,5,2,No,...about the same.,Somewhat important,Better off,200,Yes,1,0,0,0,1,1,0,0,0,0,1,More
1362995,26,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),"",Somewhat,No,"","",Yes,6,3,7,4,4,No,...better.,Not too important,About the same,50,Yes,1,0,1,1,0,1,0,0,0,0,1,More
1363000,21,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,15,1,6,6,7,No,...better.,Somewhat important,About the same,100,Yes,0,1,0,0,1,1,0,0,0,0,3,More
1363004,27,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Sole motivating factor,No,"","",Yes,"",1,8,3,6,No,...better.,Not too important,About the same,600,Yes,1,1,1,1,1,1,0,0,0,0,2,More
1363005,55,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,4,1,7,1,2,No,...better.,Very important,Worse off,188,No,0,0,0,0,1,1,0,0,0,0,0,More
1363006,58,Bachelor's Degree,Married,Baby Boomers (Born 1946-1964),Employed Full-Time (not self-employed),30,Sole motivating factor,No,"","",Yes,8,2,6,3,1,No,...about the same.,Not at all important,Worse off,300,Yes,1,1,0,0,0,0,1,0,0,0,1,More
1363009,65,Graduate or Professional Degree,Married,Baby Boomers (Born 1946-1964),Self-Employed,45,Somewhat,No,"","",Yes,5,1.5,8,6,1,No,...about the same.,Very important,Worse off,25,No,0,0,0,0,1,1,0,0,0,0,0,More
1363012,33,Graduate or Professional Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Sole motivating factor,No,"","",No,"",3,7,3,2,Yes,...better.,Very important,About the same,250,Yes,1,1,1,0,1,1,1,0,0,0,1,More
1363016,26,Some College,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),40,Sole motivating factor,No,"","",No,"",4,7,3,3,No,...better.,Not too important,Worse off,200,Yes,1,1,1,1,1,0,0,0,0,0,3,More
1363021,52,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),4,Sole motivating factor,No,"","",No,"",1,7,4,1,No,...better.,Extremely important,About the same,100,No,0,0,0,0,1,0,0,0,0,0,0,More
1363032,77,High School Diploma,Married,Baby Boomers (Born 1946-1964),Retired,"","",No,"","",Yes,5,1.5,9,4,0,No,...about the same.,Somewhat important,Worse off,0,No,0,0,0,0,1,0,0,0,0,0,0,More
1363037,22,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),20,Somewhat,Yes,14,8,Yes,6,4,8,2,4,No,...better.,Somewhat important,Better off,10,Yes,1,1,1,0,1,0,0,1,1,1,3,More
1363038,27,Graduate or Professional Degree,Married,Millennials (Born 1981-1995),Self-Employed,10,Somewhat,No,"","",Yes,7,2,6,3,3,No,...better.,Very important,Better off,0,Yes,1,1,0,1,0,0,0,0,1,0,1,More
1363040,22,High School Diploma,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),24,Somewhat,Yes,18,6,Yes,10,2,6,2,2,Yes,...better.,Somewhat important,Worse off,50,Yes,1,1,1,1,1,0,0,1,0,1,2,More
1363041,22,Some College,Never been married,Gen Z (Born 1996-2015),Unemployed...seeking employment,"","",Yes,15,15,No,"",2,8,4,3,No,...better.,Not too important,Better off,60,Yes,0,1,1,0,1,1,0,0,0,0,2,Not much impact
1363044,21,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),50,Somewhat,No,"","",Yes,10,3,8,1,1,No,...better.,Somewhat important,Better off,100,Yes,0,0,1,1,1,0,0,0,0,0,1,More
1363046,22,Graduate or Professional Degree,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),8,Somewhat,Yes,16,10,No,"",2,7.5,3,2,No,...better.,Somewhat important,Better off,30,No,1,1,1,0,1,1,0,0,1,1,3,More
1363060,22,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),18,Somewhat,Yes,14,5,Yes,4,3,8,8,4,No,...better.,Somewhat important,Worse off,70,Yes,1,1,1,1,1,0,0,1,0,1,4,More
1363069,57,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,7,2,8,2,3,No,...worse.,Not too important,Worse off,200,Yes,1,1,0,1,1,1,0,0,0,0,2,More
1363071,22,Some College,Never been married,Gen Z (Born 1996-2015),Unemployed...not seeking employment,"","",Yes,15,12,Yes,"",2,8,3,4,No,...better.,Somewhat important,Worse off,20,Yes,1,1,1,1,1,0,1,1,1,1,3,More
1363075,19,Some College,Never been married,Gen Z (Born 1996-2015),Unemployed...seeking employment,"","",Yes,15,3,No,"",3,8,5,2,No,...better.,Somewhat important,Better off,0,Yes,0,1,1,0,1,0,1,1,0,0,1,More
1363077,17,Less than High School,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),15,Somewhat,No,"","",No,"",2,7,3,3,No,...better.,Not too important,Worse off,10,Yes,0,1,1,1,1,0,0,1,1,0,1,Less
1363079,46,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,3,1,8,2,2,No,...about the same.,Somewhat important,Worse off,100,Yes,0,0,0,0,0,1,0,0,0,0,0,More
1363081,17,Less than High School,Never been married,Gen Z (Born 1996-2015),Unemployed...not seeking employment,"","",No,"","",Yes,5,2,9,3,2,No,...better.,Somewhat important,Worse off,45,No,0,0,1,0,1,0,0,0,0,0,1,More
1363082,17,Less than High School,Never been married,Gen Z (Born 1996-2015),Unemployed...not seeking employment,"","",No,"","",Yes,13,3,6,2,2,No,...about the same.,Somewhat important,Worse off,40,Yes,0,1,1,1,1,0,0,0,0,0,2,More
1363083,18,Less than High School,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),8,Sole motivating factor,No,"","",Yes,3,3,8,3,5,No,...better.,Somewhat important,Worse off,6.4,Yes,0,1,1,1,1,0,1,1,1,1,4,More
1363121,24,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),45,Somewhat,No,"","",Yes,5,1,7.5,1,1,No,...better.,Somewhat important,Better off,100,Yes,0,1,1,1,1,1,0,1,0,0,1,More
1363123,17,Less than High School,Never been married,Gen Z (Born 1996-2015),Unemployed...not seeking employment,"",Not at all,No,"","",Yes,16,2,7.5,7,1,No,...about the same.,Somewhat important,Worse off,5,No,0,1,0,0,1,0,0,0,0,0,1,More
1363124,53,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),55,Somewhat,No,"","",No,"",1,7,3,1,No,...better.,Somewhat important,About the same,48,Yes,0,0,0,0,1,1,1,0,0,0,0,More
1363134,51,Bachelor's Degree,Married,Generation X (Born 1965-1980),Self-Employed,50,Somewhat,No,"","",No,"",8,4,3,5,Yes,...better.,Not at all important,Worse off,250,Yes,1,1,1,1,1,0,1,1,0,0,5,More
1363139,24,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,6,3,8,4,2,No,...better.,Not at all important,About the same,250,Yes,1,1,1,0,1,1,1,1,0,0,1,More
1363140,25,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,8,2,7,4,2,No,...better.,Not at all important,Worse off,4,Yes,1,1,1,1,1,1,0,1,0,1,2,More
1363141,25,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),35,Sole motivating factor,No,"","",Yes,20,3,7,4,4,No,...better.,Somewhat important,Better off,15,Yes,0,1,1,1,1,1,0,1,0,0,2,More
1363142,56,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",No,"",2,6,4,3,Yes,...worse.,Somewhat important,Worse off,90,Yes,1,1,1,1,1,1,0,0,0,0,2,More
1363143,25,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),40,Sole motivating factor,No,"","",Yes,15,2.5,7,2,5,No,...about the same.,Somewhat important,Worse off,150,Yes,0,1,1,1,1,1,1,1,0,0,4,More
1363149,32,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),12,Somewhat,Yes,12,5,No,"",2,8,9,6,No,...better.,Very important,Worse off,40,Yes,0,1,1,1,1,1,0,1,0,0,4,More
1363150,26,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),45,Sole motivating factor,No,"","",Yes,10,2,8,4,3,No,...about the same.,Somewhat important,Worse off,100,Yes,1,1,1,0,1,1,0,1,1,0,4,More
1363155,76,Graduate or Professional Degree,Married,Baby Boomers (Born 1946-1964),Retired,"","",No,"","",Yes,6,3,9,5,1,No,...about the same.,Very important,Worse off,4,No,1,1,0,0,1,0,0,0,0,0,2,Not much impact
1363156,25,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),45,Sole motivating factor,No,"","",Yes,6,1,6,1,3,No,...better.,Not too important,Better off,400,Yes,1,1,1,1,1,1,0,0,0,0,2,More
1363186,59,Graduate or Professional Degree,Married,Baby Boomers (Born 1946-1964),Employed Full-Time (not self-employed),48,Somewhat,No,"","",No,"",2,7,4,3,No,...about the same.,Somewhat important,About the same,100,Yes,1,1,0,1,1,1,0,1,0,0,3,More
1363187,57,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",No,"",1,7,3,1,No,...better.,Somewhat important,Worse off,100,Yes,1,1,0,1,1,1,0,1,0,0,2,More
1363189,49,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),45,Somewhat,No,"","",No,"",2,8,1,1,Yes,...better.,Very important,About the same,300,Yes,1,0,0,0,0,1,1,0,0,0,1,More
1363209,18,Less than High School,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),25,Sole motivating factor,No,"","",Yes,10,2,6,5,2,Yes,...better.,Somewhat important,About the same,43,Yes,0,1,1,1,1,1,0,1,0,0,2,More
1363223,25,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),45,Somewhat,No,"","",Yes,6,1.5,6,4,1,Yes,...better.,Somewhat important,Worse off,50,Yes,0,0,0,1,1,0,0,0,0,0,0.5,More
1363239,51,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),60,Somewhat,No,"","",Yes,3,2,7,2,2,No,...better.,Somewhat important,About the same,500,Yes,1,1,0,0,1,1,1,0,0,0,1,More
1363240,55,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Self-Employed,50,Sole motivating factor,No,"","",Yes,3,1,7,4,1,No,...about the same.,Not too important,Worse off,30,No,1,1,0,1,1,1,0,0,1,0,1,More
1363242,27,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Self-Employed,40,Somewhat,No,"","",Yes,20,1,8,3,3,No,...better.,Somewhat important,Worse off,200,Yes,1,1,1,1,0,1,1,0,0,0,1,More
1363260,62,Graduate or Professional Degree,Never been married,Baby Boomers (Born 1946-1964),Employed Part-Time (not self-employed),10,"",No,"","",No,"",1,8,6,4,Yes,...better.,Somewhat important,Worse off,50,Yes,1,1,0,1,0,0,1,0,0,0,0,More
1363261,70,Bachelor's Degree,Married,Baby Boomers (Born 1946-1964),Employed Full-Time (not self-employed),45,Somewhat,No,"","",Yes,12,2,7,3,5,No,...better.,Very important,About the same,200,No,1,1,0,0,0,0,0,0,0,0,2,More
1363342,58,Some College,Married,Generation X (Born 1965-1980),Retired,"","",No,"","",Yes,9,5,7,5,3,No,...better.,Very important,Worse off,16,Yes,1,0,0,0,1,0,0,0,1,0,2,More
1363347,60,Bachelor's Degree,Married,Baby Boomers (Born 1946-1964),Retired,"","",No,"","",Yes,5,2,8,5,2,No,...about the same.,Not too important,About the same,250,Yes,1,1,0,0,0,1,1,0,1,0,2,More
1363350,30,Graduate or Professional Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,6,3,8,3,5,No,...better.,Somewhat important,Worse off,200,Yes,1,1,1,1,1,1,0,1,1,0,2,More
1363361,57,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,5,3.5,6.5,3.5,4,Yes,...better.,Not too important,Worse off,600,Yes,1,1,0,0,0,1,0,0,0,0,1,More
1363363,21,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),16,Somewhat,Yes,12,4,Yes,2,4,6,5,4.5,Yes,...better.,Not too important,Better off,40,Yes,0,1,1,1,0,0,0,0,0,1,4.5,More
1363366,22,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),10,Somewhat,Yes,14,4,Yes,4,3,8,5,5,No,...better.,Very important,About the same,0,Yes,0,1,1,0,1,0,1,1,1,1,4,More
1363401,51,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,5,2,7,2,4,Yes,...better.,Somewhat important,Better off,400,Yes,1,0,0,0,0,1,0,1,0,0,1,More
1363403,50,Bachelor's Degree,Married,Generation X (Born 1965-1980),Self-Employed,10,Somewhat,No,"","",Yes,3,3,7,2,2,No,...better.,Not at all important,Worse off,500,Yes,1,1,1,0,0,0,0,0,0,0,2,More
1363408,25,Bachelor's Degree,Married,Gen Z (Born 1996-2015),Self-Employed,20,Somewhat,No,"","",Yes,3,3,7,6,4,No,...better.,Not too important,About the same,100,Yes,1,1,1,0,0,0,0,1,1,0,3,More
1363412,27,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),45,Sole motivating factor,No,"","",Yes,10,2,8,2,2,No,...better.,Very important,Better off,100,Yes,1,1,0,1,0,1,0,0,0,0,2,More
1363490,68,Bachelor's Degree,Divorced/Separated,Baby Boomers (Born 1946-1964),Retired,"","",No,"","",Yes,6,2,8,8,1,No,...about the same.,Very important,Worse off,0,Yes,1,0,0,0,1,0,0,0,0,0,0.5,More
1363529,82,Some College,Married,Silent Generation (Born 1928-1945),Retired,"","",No,"","",Yes,12.25,1,6,5,0,No,...about the same.,Very important,Better off,0,No,1,0,0,0,0,0,0,0,0,0,4,More
1363540,52,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),60,Somewhat,No,"","",Yes,"",2,6,1,3.5,Yes,...about the same.,Extremely important,Worse off,150,Yes,1,1,1,1,1,0,1,0,0,0,0.5,More
1363549,26,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),60,Somewhat,No,"","",Yes,7,2,6.5,1,2,No,...better.,Somewhat important,Better off,40,Yes,1,1,1,1,1,1,0,0,0,0,1,More
1363550,26,Graduate or Professional Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),35,Sole motivating factor,No,"","",Yes,8,2,8,4,3,No,...better.,Somewhat important,Better off,35,Yes,1,1,1,0,0,0,0,1,0,1,1,Not much impact
1363613,33,Graduate or Professional Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),45,Somewhat,No,"","",No,"",2,8,2,1,No,...better.,Somewhat important,About the same,60,Yes,1,0,0,0,1,1,0,0,0,0,1,More
1363858,55,Some College,Married,Generation X (Born 1965-1980),Employed Part-Time (not self-employed),16,Somewhat,No,"","",Yes,4,2,8,4,3,No,...about the same.,Somewhat important,Worse off,50,Yes,1,0,0,0,1,0,0,0,1,0,1,More
1363861,53,Some College,Married,Generation X (Born 1965-1980),Employed Part-Time (not self-employed),24,Somewhat,No,"","",Yes,4,1,8,6,2,No,...about the same.,Somewhat important,Worse off,45,Yes,1,0,0,0,1,0,0,0,0,0,2,More
1363958,53,Bachelor's Degree,Married,Generation X (Born 1965-1980),Retired,"","",No,"","",No,"",4,6,3,1,No,...better.,Somewhat important,Better off,500,Yes,1,1,0,1,1,1,0,0,1,0,1,More
1363974,58,Graduate or Professional Degree,Married,Baby Boomers (Born 1946-1964),Retired,"","",No,"","",Yes,12,3,8,2,2,No,...about the same.,Very important,Better off,200,No,1,1,0,1,0,0,0,0,0,0,1.5,More
1363975,52,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Part-Time (not self-employed),15,Not at all,No,"","",Yes,10,2,7,4,2,No,...better.,Very important,About the same,150,Yes,1,0,1,0,0,0,0,0,1,0,1,More
1363979,55,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),47.5,Sole motivating factor,No,"","",No,"",4,6,2,5,No,...about the same.,Somewhat important,About the same,0,Yes,1,0,0,0,0,0,1,0,0,0,2,More
1364171,67,Bachelor's Degree,Married,Baby Boomers (Born 1946-1964),Retired,"","",No,"","",Yes,15,4,8,3,2,No,...better.,Very important,Worse off,1,No,1,1,0,0,1,1,0,1,1,0,3,More
1364217,30,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,7,3,10,3,4,Yes,...better.,Very important,Worse off,30,Yes,1,1,0,0,1,1,0,1,1,0,4,More
1364232,57,Bachelor's Degree,Married,Generation X (Born 1965-1980),Self-Employed,40,Somewhat,No,"","",No,"",3,9,3,1,No,...better.,Not at all important,Better off,600,Yes,1,0,0,1,0,0,0,0,0,0,2,More
1364235,55,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Part-Time (not self-employed),32,Sole motivating factor,No,"","",Yes,3,1,6,2,1,No,...about the same.,Somewhat important,About the same,100,Yes,0,1,0,0,0,0,0,0,1,0,1,More
1364482,64,Some College,Divorced/Separated,Baby Boomers (Born 1946-1964),Employed Part-Time (not self-employed),2,Not at all,No,"","",No,"",1,9,5,2,No,...better.,Somewhat important,About the same,40,Yes,0,1,0,0,1,0,0,0,1,0,1,More
1364830,21,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),40,Somewhat,Yes,16,30,Yes,12,4,6,4,3,No,...better.,Somewhat important,About the same,100,Yes,0,1,1,0,1,0,0,1,0,0,3,More
1365052,36,Graduate or Professional Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),48,Somewhat,No,"","",Yes,2,1,7,1.5,1,No,...better.,Somewhat important,Worse off,10,Yes,1,0,1,1,1,1,0,0,1,0,1,More
1365812,57,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Self-Employed,30,Somewhat,No,"","",Yes,4,2,8,4,2,No,...better.,Somewhat important,About the same,200,Yes,1,0,0,0,1,1,0,0,0,0,1,More
1365822,57,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Self-Employed,15,Not at all,No,"","",Yes,12,2,8,3,2,No,...better.,Not too important,About the same,200,Yes,1,1,0,0,1,0,0,0,0,0,1,More
1365856,30,Graduate or Professional Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),65,Sole motivating factor,No,"","",No,"",1,7,2,1,No,...better.,Not too important,About the same,50,Yes,1,1,1,1,1,1,0,0,0,0,1,More
1367913,56,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),50,Not at all,No,"","",No,"",2,6,3,1,No,...about the same.,Somewhat important,Worse off,50,No,1,1,1,1,1,1,1,1,1,0,1,More
1370772,25,Bachelor's Degree,Never been married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),55,Somewhat,No,"","",Yes,5,7,8,8,10,No,...better.,Very important,About the same,60,Yes,1,1,0,0,1,0,0,0,0,0,2,More
1373826,55,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Part-Time (not self-employed),20,Not at all,No,"","",No,"",4,7,3,2,Yes,...better.,Very important,Worse off,40,Yes,1,1,1,0,0,0,0,0,0,0,1,More
1374287,53,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),40,Somewhat,No,"","",No,"",2,8,4,3,No,...about the same.,Not at all important,Worse off,100,No,1,0,0,0,0,1,0,0,0,0,1,More
1375697,27,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),42,Somewhat,No,"","",No,"",2,6,3,3,No,...better.,Not too important,Worse off,0,Yes,1,1,1,0,1,1,0,1,1,0,3,More
